           1.23	      1.0000021	 -1.2062408e-05
           1.24	       1.000002	 -1.2128241e-05
           1.25	      1.0000019	 -1.2193107e-05
           1.26	      1.0000017	 -1.2256996e-05
           1.27	      1.0000016	 -1.2319898e-05
           1.28	      1.0000015	 -1.2381802e-05
           1.29	      1.0000014	 -1.2442699e-05
            1.3	      1.0000012	 -1.2502579e-05
           1.31	      1.0000011	 -1.2561431e-05
           1.32	       1.000001	 -1.2619247e-05
           1.33	      1.0000009	 -1.2676017e-05
           1.34	      1.0000007	  -1.273173e-05
           1.35	      1.0000006	 -1.2786378e-05
           1.36	      1.0000005	  -1.283995e-05
           1.37	      1.0000003	 -1.2892438e-05
           1.38	      1.0000002	 -1.2943832e-05
           1.39	      1.0000001	 -1.2994122e-05
            1.4	     0.99999996	 -1.3043301e-05
           1.41	     0.99999983	 -1.3091357e-05
           1.42	      0.9999997	 -1.3138284e-05
           1.43	     0.99999956	  -1.318407e-05
           1.44	     0.99999943	 -1.3228709e-05
           1.45	      0.9999993	  -1.327219e-05
           1.46	     0.99999917	 -1.3314505e-05
           1.47	     0.99999903	 -1.3355646e-05
           1.48	      0.9999989	 -1.3395603e-05
           1.49	     0.99999877	 -1.3434369e-05
            1.5	     0.99999863	 -1.3471936e-05
           1.51	      0.9999985	 -1.3508293e-05
           1.52	     0.99999836	 -1.3543435e-05
           1.53	     0.99999823	 -1.3577352e-05
           1.54	     0.99999809	 -1.3610037e-05
           1.55	     0.99999795	 -1.3641481e-05
           1.56	     0.99999782	 -1.3671677e-05
           1.57	     0.99999768	 -1.3700616e-05
           1.58	     0.99999754	 -1.3728293e-05
           1.59	      0.9999974	 -1.3754698e-05
            1.6	     0.99999727	 -1.3779824e-05
           1.61	     0.99999713	 -1.3803665e-05
           1.62	     0.99999699	 -1.3826213e-05
           1.63	     0.99999685	  -1.384746e-05
           1.64	     0.99999671	   -1.38674e-05
           1.65	     0.99999658	 -1.3886026e-05
           1.66	     0.99999644	  -1.390333e-05
           1.67	      0.9999963	 -1.3919307e-05
           1.68	     0.99999616	  -1.393395e-05
           1.69	     0.99999602	 -1.3947252e-05
            1.7	     0.99999588	 -1.3959207e-05
           1.71	     0.99999574	 -1.3969808e-05
           1.72	      0.9999956	 -1.3979049e-05
           1.73	     0.99999546	 -1.3986925e-05
           1.74	     0.99999532	 -1.3993429e-05
